"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"COF^C","Capital One Financial Corporation","25.63","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cof^c",
"CFFN","Capitol Federal Financial, Inc.","13.4","1893141802.6","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cffn",
"CIC","Capitol Investment Corp. IV","10.2","513187500","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cic",
"CSTR","CapStar Financial Holdings, Inc.","15.84","280093603.68","n/a","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/cstr",
"CARO","Carolina Financial Corporation","35.05","782048288.1","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/caro",
"CART","Carolina Trust BancShares, Inc.","8.21","76328181.17","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cart",
"CARV","Carver Bancorp, Inc.","3.6789","13607750.7696","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/carv",
"CATY","Cathay General Bancorp","34.62","2786156945.76","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/caty",
"CBFV","CB Financial Services, Inc.","23.3","126595633.7","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cbfv",
"CBMB","CBM Bancorp, Inc.","13.1","55439200","n/a","2018","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cbmb",
"CBRE","CBRE Group, Inc.","50.45","16942862178.95","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/cbre",
"CBTX","CBTX, Inc.","32.55","846386355.15","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/cbtx",
"CSFL","CenterState Bank Corporation","24.04","2304251813.64","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/csfl",
"CFBK","Central Federal Corporation","12.85","56441003.6","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cfbk",
"CVCY","Central Valley Community Bancorp","19.87","272466003.97","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cvcy",
