"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AMRS","Amyris, Inc.","2.13","156675321.57","n/a","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amrs",
"AU","AngloGold Ashanti Limited","12.84","5300145738.24","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/au",
"AQMS","Aqua Metals, Inc.","3.02","133966266.82","n/a","2015","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/aqms",
"RKDA","Arcadia Biosciences, Inc.","7.43","35477648.17","n/a","2015","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/rkda",
"MT","ArcelorMittal","21.64","21841330401.72","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/mt",
"AGX","Argan, Inc.","50.41","784919944.79","n/a","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/agx",
"AKG","Asanko Gold Inc.","0.6388","144243987.4232","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/akg",
"APWC","Asia Pacific Wire & Cable Corporation Limited","2.2975","31750689.5275","n/a","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/apwc",
"ATIS","Attis Industries Inc.","2.57","8842876.56","n/a","n/a","Basic Industries","Miscellaneous","https://www.nasdaq.com/symbol/atis",
"ATISW","Attis Industries Inc.","0.5499","0","n/a","n/a","Basic Industries","Miscellaneous","https://www.nasdaq.com/symbol/atisw",
"AUG","Auryn Resources Inc.","1.4","132310067.4","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aug",
"ASM","Avino Silver","0.5725","36739018.455","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/asm",
"AXTA","Axalta Coating Systems Ltd.","25.81","6061145344.52","n/a","2014","Basic Industries","Paints/Coatings","https://www.nasdaq.com/symbol/axta",
"BTG","B2Gold Corp","2.74","2753009933.74","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/btg",
"BCPC","Balchem Corporation","94.56","3051797384.16","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/bcpc",
"GOLD","Barrick Gold Corporation","13.46","23581675014.54","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/gold",
"BDC","Belden Inc","55.1","2170907601.2","n/a","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/bdc",
